fdc_id,description,protein,fat,carbs,calories,calories,iron
335061,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",27.3,11.4,0.0,219.0,918.0,3.53
335109,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",22.7,5.32,0.0,145.0,606.0,2.26
335240,"Bread, whole-wheat, commercially prepared",12.3,3.55,43.1,254.0,1060.0,2.56
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",27.7,6.36,0.0,176.0,735.0,3.04
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",22.8,6.39,0.0,155.0,648.0,1.9
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.4,2.48,0.0,122.0,512.0,1.37
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.7,2.41,0.0,123.0,514.0,2.34
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",22.7,5.32,0.0,145.0,606.0,2.26
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",27.3,11.4,0.0,219.0,918.0,3.53
746764,"Carrots, frozen, unprepared",0.81,0.47,7.92,37.0,153.0,0.43
746765,"Cheese, dry white, queso seco",24.5,24.3,2.07,326.0,1360.0,0.18
746766,"Cheese, ricotta, whole milk",7.81,11.0,6.86,157.0,657.0,0.1
746767,"Cheese, swiss",27.0,31.0,1.44,393.0,1640.0,0.13
746768,"Figs, dried, uncooked",3.3,0.92,63.9,249.0,1040.0,2.03
746769,"Lettuce, cos or romaine, raw",1.24,0.26,3.24,17.0,70.0,0.95
746770,"Melons, cantaloupe, raw",0.82,0.18,8.16,34.0,141.0,0.38
746771,"Oranges, raw, navels",0.91,0.15,11.8,47.0,196.0,0.33
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.38,0.95,5.18,43.0,179.0,0.0
746773,"Pears, raw, bartlett",0.38,0.16,15.1,57.0,238.0,0.17
746774,"Restaurant, Chinese, sweet and sour pork",8.88,13.6,25.5,260.0,1090.0,3.07
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.43,0.08,4.92,34.0,144.0,0.0
746777,"Sauce, salsa, ready-to-serve",1.44,0.19,6.74,29.0,122.0,0.42
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.36,1.9,4.9,50.0,209.0,0.0
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",13.3,28.7,3.37,328.0,1370.0,1.55
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",18.2,26.2,2.15,322.0,1350.0,1.29
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",19.3,28.1,2.63,346.0,1450.0,2.34
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",3.27,3.2,4.63,60.0,251.0,0.0
746783,"Sausage, turkey, breakfast links, mild, raw",16.7,10.4,0.93,169.0,706.0,1.17
746784,"Sugars, granulated",0.0,0.32,99.6,385.0,1610.0,0.05
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",27.1,11.6,0.0,220.0,922.0,1.56
746952,"Ham, sliced, restaurant",19.6,3.68,2.36,121.0,507.0,0.86
747429,"Cheese, American, restaurant",17.5,31.1,6.35,375.0,1570.0,0.24
747447,"Broccoli, raw",2.57,0.34,6.27,31.0,132.0,0.69
747448,"Strawberries, raw",0.64,0.22,7.63,31.0,132.0,0.28
747693,"Ketchup, restaurant",1.11,0.55,26.8,117.0,488.0,0.43
748967,"Eggs, Grade A, Large, egg whole",12.4,9.96,0.96,148.0,617.0,1.67
749420,"Pork, cured, bacon, cooked, restaurant",40.9,36.5,2.1,500.0,2090.0,1.28
789890,"Flour, wheat, all-purpose, enriched, bleached",10.9,1.48,77.3,366.0,1530.0,5.62
789951,"Flour, wheat, all-purpose, enriched, unbleached",13.1,1.48,73.2,358.0,1500.0,5.41
790018,"Flour, wheat, all-purpose, unenriched, unbleached",12.0,1.7,74.6,362.0,1510.0,1.18
790085,"Flour, whole wheat, unenriched",15.1,2.73,71.2,370.0,1550.0,3.86
790146,"Flour, bread, white, enriched, unbleached",14.3,1.65,72.8,363.0,1520.0,5.55
790214,"Flour, rice, white, unenriched",6.94,1.3,79.8,359.0,1500.0,0.22
790276,"Flour, corn, yellow, fine meal, enriched",6.2,1.74,80.8,364.0,1520.0,4.44
790577,"Onions, red, raw",0.94,0.1,9.93,44.0,186.0,0.24
790646,"Onions, yellow, raw",0.83,0.05,8.61,38.0,160.0,0.28
790991,"Bananas, ripe and slightly ripe, raw",0.74,0.29,23.0,97.0,408.0,0.0
1104705,"Flour, soy, defatted",51.1,3.33,32.9,366.0,1530.0,7.34
1104766,"Flour, soy, full-fat",38.6,20.7,27.9,452.0,1890.0,9.51
1104812,"Flour, rice, brown",7.19,3.85,75.5,365.25,1582.206,1.5
1104867,"Flour, rice, glutinous",6.69,1.16,80.1,358.0,1500.0,0.34
1104913,"Flour, pastry, unenriched, unbleached",8.75,1.64,77.2,358.0,1500.0,0.87
1104962,"Onions, white, raw",0.89,0.13,7.68,35.0,148.0,0.15
1105314,"Bananas, ripe and slightly ripe, raw",0.74,0.29,23.0,97.0,408.0,0.0
1105430,"Apples, red delicious, with skin, raw",0.19,0.21,14.8,62.0,258.0,0.0
1105547,"Apples, honeycrisp, with skin, raw",0.1,0.1,14.7,60.0,252.0,0.0
1105664,"Apples, granny smith, with skin, raw",0.27,0.14,14.2,59.0,247.0,0.07
1105781,"Apples, gala, with skin, raw",0.13,0.15,14.8,61.0,256.0,0.06
1105897,"Apples, fuji, with skin, raw",0.15,0.16,15.7,65.0,271.0,0.02
